2024,Jan,Sun,,Moon,,,Tide,,,,2024,Feb,Sun,,Moon,,,Tide,,,,2024,Mar,Sun,,Moon,,,Tide,,
,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L
,1,7.07 am,7.10 pm,11.26 pm,11.07 am,0.81,03:00,2.7 m,H,,,1,7.17 am,7.20 pm,NIL,11.40 am,0.72,02:56,2.7 m,H,,,1,7.15 am,7.20 pm,11.28 pm,11.01 am,0.78,01:56,2.8 m,H
,,,,,,,08:05,1.6 m,L,,,,,,,,,08:50,1.2 m,L,,,,,,,,,08:15,0.9 m,L
,,,,,,,13:46,2.9 m,H,,,,,,,,,14:41,2.7 m,H,,,,,,,,,14:22,2.7 m,H
,,,,,,,20:35,0.7 m,L,,,,,,,,,20:52,1.0 m,L,,,,,,,,,20:15,1.1 m,L
,2,7.07 am,7.10 pm,NIL,11.46 am,0.73,03:30,2.6 m,H,,,2,7.17 am,7.21 pm,12.03 am,12.20 pm,0.63,03:20,2.7 m,H,,,2,7.15 am,7.20 pm,NIL,11.47 am,0.7,02:18,2.8 m,H
,,,,,,,08:43,1.6 m,L,,,,,,,,,09:30,1.2 m,L,,,,,,,,,08:46,0.9 m,L
,,,,,,,14:24,2.8 m,H,,,,,,,,,15:26,2.5 m,H,,,,,,,,,15:03,2.4 m,H
,,,,,,,21:11,0.9 m,L,,,,,,,,,21:15,1.3 m,L,,,,,,,,,20:35,1.3 m,L
,3,7.08 am,7.11 pm,12.06 am,12.25 pm,0.64,04:03,2.6 m,H,,,3,7.17 am,7.21 pm,12.46 am,1.05 pm,0.53,03:48,2.6 m,H,,,3,7.14 am,7.20 pm,12.17 am,12.37 pm,0.6,02:46,2.8 m,H
,,,,,,,09:26,1.6 m,L,,,,,,,,,10:26,1.2 m,L,,,,,,,,,09:31,0.9 m,L
,,,,,,,15:07,2.6 m,H,,,,,,,,,16:31,2.2 m,H,,,,,,,,,16:03,2.2 m,H
,,,,,,,21:46,1.1 m,L,,,,,,,,,21:46,1.5 m,L,,,,,,,,,21:03,1.5 m,L
,4,7.08 am,7.11 pm,12.45 am,1.04 pm,0.55,04:41,2.5 m,H,,,4,7.17 am,7.21 pm,1.34 am,1.53 pm,0.43,04:31,2.6 m,H,,,4,7.14 am,7.19 pm,1.11 am,1.32 pm,0.5,03:22,2.7 m,H
,,,,,,,10:18,1.6 m,L,,,,,,,,,11:46,1.2 m,L,,,,,,,,,10:46,1.0 m,L
,,,,,,,16:03,2.4 m,H,,,,,,,,,18:16,2.0 m,H,,,,,,,,,17:50,2.0 m,H
,,,,,,,22:28,1.3 m,L,,,,,,,,,22:37,1.8 m,L,,,,,,,,,21:48,1.8 m,L
,5,7.09 am,7.12 pm,1.26 am,1.44 pm,0.45,05:22,2.5 m,H,,,5,7.17 am,7.21 pm,2.26 am,2.47 pm,0.33,05:30,2.5 m,H,,,5,7.14 am,7.19 pm,2.09 am,2.31 pm,0.39,04:15,2.5 m,H
,,,,,,,11:31,1.5 m,L,,,,,,,,,13:11,1.1 m,L,,,,,,,,,12:26,0.9 m,L
,,,,,,,17:28,2.2 m,H,,,,,,,,,21:18,2.1 m,H,,,,,,,,,21:01,2.1 m,H
,,,,,,,23:22,1.5 m,L,,,6,7.17 am,7.21 pm,3.23 am,3.46 pm,0.24,00:43,2.0 m,H,,,6,7.14 am,7.19 pm,3.09 am,3.33 pm,0.29,00:09,2.0 m,H
,6,7.09 am,7.12 pm,2.09 am,2.27 pm,0.36,06:09,2.5 m,H,,,,,,,,,06:43,2.5 m,H,,,,,,,,,05:43,2.4 m,H
,,,,,,,13:00,1.4 m,L,,,,,,,,,14:22,0.9 m,L,,,,,,,,,13:54,0.8 m,L
,,,,,,,19:18,2.1 m,H,,,,,,,,,22:24,2.3 m,H,,,,,,,,,22:01,2.3 m,H
,7,7.10 am,7.12 pm,2.55 am,3.14 pm,0.26,00:41,1.7 m,L,,,7,7.17 am,7.21 pm,4.25 am,4.49 pm,0.15,02:33,2.0 m,H,,,7,7.13 am,7.19 pm,4.10 am,4.34 pm,0.19,02:28,1.9 m,L
,,,,,,,07:00,2.6 m,H,,,,,,,,,08:13,2.6 m,H,,,,,,,,,08:07,2.5 m,H
,,,,,,,14:09,1.1 m,L,,,,,,,,,15:18,0.7 m,L,,,,,,,,,15:07,0.6 m,L
,,,,,,,21:24,2.3 m,H,,,,,,,,,23:07,2.6 m,H,,,,,,,,,22:41,2.5 m,H
,8,7.10 am,7.13 pm,3.46 am,4.07 pm,0.18,02:00,1.8 m,L,,,8,7.17 am,7.21 pm,5.28 am,5.52 pm,0.08,03:45,1.9 m,L,,,8,7.13 am,7.19 pm,5.09 am,5.33 pm,0.11,03:43,1.7 m,L
,,,,,,,07:50,2.7 m,H,,,,,,,,,09:24,2.8 m,H,,,,,,,,,09:20,2.7 m,H
,,,,,,,15:01,0.9 m,L,,,,,,,,,16:09,0.5 m,L,,,,,,,,,16:03,0.4 m,L
,,,,,,,22:26,2.4 m,H,,,,,,,,,23:45,2.7 m,H,,,,,,,,,23:13,2.7 m,H
,9,7.10 am,7.13 pm,4.42 am,5.05 pm,0.1,03:00,1.8 m,L,,,9,7.17 am,7.21 pm,6.30 am,6.54 pm,0.03,04:35,1.7 m,L,,,9,7.13 am,7.18 pm,6.06 am,6.29 pm,0.05,04:28,1.5 m,L
,,,,,,,08:41,2.8 m,H,,,,,,,,,10:16,3.0 m,H,,,,,,,,,10:11,3.0 m,H
,,,,,,,15:41,0.7 m,L,,,,,,,,,16:58,0.3 m,L,,,,,,,,,16:52,0.3 m,L
,,,,,,,23:15,2.6 m,H,,,10,7.17 am,7.21 pm,7.29 am,7.52 pm,0,00:20,2.8 m,H,,,,,,,,,23:39,2.8 m,H
,10,7.11 am,7.14 pm,5.43 am,6.07 pm,0.05,03:50,1.8 m,L,,,,,,,,,05:20,1.6 m,L,,,10,7.12 am,7.18 pm,6.59 am,7.23 pm,0.01,05:07,1.2 m,L
,,,,,,,09:30,2.9 m,H,,,,,,,,,11:03,3.2 m,H,,,,,,,,,10:56,3.2 m,H
,,,,,,,16:18,0.5 m,L,,,,,,,,,17:46,0.2 m,L,,,,,,,,,17:37,0.2 m,L
,,,,,,,23:58,2.7 m,H,,,11,7.17 am,7.21 pm,8.24 am,8.47 pm,0.01,00:52,2.9 m,H,,,11,7.12 am,7.18 pm,7.51 am,8.15 pm,0,00:00,2.9 m,H
,11,7.11 am,7.14 pm,6.46 am,7.11 pm,0.01,04:37,1.8 m,L,,,,,,,,,06:05,1.4 m,L,,,,,,,,,05:48,1.0 m,L
,,,,,,,10:18,3.0 m,H,,,,,,,,,11:48,3.3 m,H,,,,,,,,,11:41,3.4 m,H
,,,,,,,17:00,0.3 m,L,,,,,,,,,18:37,0.2 m,L,,,,,,,,,18:22,0.3 m,L
,12,7.12 am,7.15 pm,7.49 am,8.13 pm,0,00:39,2.8 m,H,,,12,7.17 am,7.21 pm,9.15 am,9.39 pm,0.04,01:20,3.0 m,H,,,12,7.12 am,7.18 pm,8.41 am,9.07 pm,0.03,00:24,3.0 m,H
,,,,,,,05:26,1.8 m,L,,,,,,,,,06:50,1.2 m,L,,,,,,,,,06:30,0.7 m,L
,,,,,,,11:05,3.2 m,H,,,,,,,,,12:35,3.4 m,H,,,,,,,,,12:28,3.4 m,H
,,,,,,,17:46,0.2 m,L,,,,,,,,,19:24,0.2 m,L,,,,,,,,,19:05,0.4 m,L
,13,7.12 am,7.15 pm,8.49 am,9.12 pm,0.02,01:20,2.9 m,H,,,13,7.17 am,7.21 pm,10.05 am,10.29 pm,0.11,01:48,3.0 m,H,,,13,7.12 am,7.18 pm,9.32 am,10.00 pm,0.08,00:52,3.0 m,H
,,,,,,,06:16,1.7 m,L,,,,,,,,,07:35,1.0 m,L,,,,,,,,,07:11,0.5 m,L
,,,,,,,11:52,3.3 m,H,,,,,,,,,13:24,3.4 m,H,,,,,,,,,13:18,3.3 m,H
,,,,,,,18:37,0.2 m,L,,,,,,,,,20:07,0.4 m,L,,,,,,,,,19:45,0.7 m,L
,14,7.12 am,7.15 pm,9.45 am,10.07 pm,0.07,02:01,2.9 m,H,,,14,7.17 am,7.21 pm,10.54 am,11.20 pm,0.19,02:16,3.0 m,H,,,14,7.11 am,7.17 pm,10.24 am,10.54 pm,0.15,01:22,3.0 m,H
,,,,,,,07:05,1.6 m,L,,,,,,,,,08:18,0.9 m,L,,,,,,,,,07:52,0.4 m,L
,,,,,,,12:41,3.3 m,H,,,,,,,,,14:16,3.2 m,H,,,,,,,,,14:15,3.1 m,H
,,,,,,,19:30,0.2 m,L,,,,,,,,,20:48,0.7 m,L,,,,,,,,,20:22,1.0 m,L
,15,7.13 am,7.16 pm,10.37 am,10.59 pm,0.14,02:37,2.9 m,H,,,15,7.17 am,7.21 pm,11.43 am,NIL,0.29,02:45,2.9 m,H,,,15,7.11 am,7.17 pm,11.18 am,11.50 pm,0.24,01:52,3.0 m,H
,,,,,,,07:54,1.5 m,L,,,,,,,,,09:03,0.8 m,L,,,,,,,,,08:33,0.4 m,L
,,,,,,,13:30,3.3 m,H,,,,,,,,,15:15,3.0 m,H,,,,,,,,,15:13,2.8 m,H
,,,,,,,20:22,0.3 m,L,,,,,,,,,21:24,1.0 m,L,,,,,,,,,20:54,1.3 m,L
,16,7.13 am,7.16 pm,11.25 am,11.48 pm,0.23,03:13,2.9 m,H,,,16,7.17 am,7.21 pm,12.34 pm,12.11 am,0.4,03:16,2.9 m,H,,,16,7.11 am,7.17 pm,12.14 pm,NIL,0.34,02:22,2.9 m,H
,,,,,,,08:43,1.3 m,L,,,,,,,,,09:50,0.8 m,L,,,,,,,,,09:20,0.5 m,L
,,,,,,,14:22,3.2 m,H,,,,,,,,,16:20,2.6 m,H,,,,,,,,,16:15,2.5 m,H
,,,,,,,21:09,0.5 m,L,,,,,,,,,21:58,1.4 m,L,,,,,,,,,21:22,1.6 m,L
,17,7.13 am,7.17 pm,12.13 pm,NIL,0.34,03:46,2.9 m,H,,,17,7.17 am,7.21 pm,1.27 pm,1.04 am,0.51,03:50,2.8 m,H,,,17,7.10 am,7.17 pm,1.11 pm,12.47 am,0.45,02:56,2.8 m,H
,,,,,,,09:30,1.2 m,L,,,,,,,,,10:50,0.8 m,L,,,,,,,,,10:16,0.6 m,L
,,,,,,,15:18,3.0 m,H,,,,,,,,,17:39,2.3 m,H,,,,,,,,,17:33,2.2 m,H
,,,,,,,21:54,0.8 m,L,,,,,,,,,22:33,1.7 m,L,,,,,,,,,21:54,1.9 m,L
,18,7.14 am,7.17 pm,1.00 pm,12.37 am,0.45,04:22,2.8 m,H,,,18,7.17 am,7.21 pm,2.22 pm,1.59 am,0.61,04:33,2.7 m,H,,,18,7.10 am,7.16 pm,2.06 pm,1.44 am,0.55,03:35,2.6 m,H
,,,,,,,10:24,1.2 m,L,,,,,,,,,12:09,0.9 m,L,,,,,,,,,11:37,0.8 m,L
,,,,,,,16:28,2.7 m,H,,,,,,,,,20:07,2.2 m,H,,,,,,,,,20:18,2.1 m,H
,,,,,,,22:41,1.2 m,L,,,,,,,,,23:41,2.0 m,H,,,,,,,,,23:03,2.1 m,H
,19,7.14 am,7.17 pm,1.48 pm,1.25 am,0.56,05:01,2.8 m,H,,,19,7.17 am,7.21 pm,3.17 pm,2.54 am,0.71,05:37,2.5 m,H,,,19,7.10 am,7.16 pm,2.59 pm,2.38 am,0.65,04:37,2.4 m,H
,,,,,,,11:28,1.1 m,L,,,,,,,,,13:43,0.8 m,L,,,,,,,,,13:18,0.9 m,L
,,,,,,,17:52,2.5 m,H,,,,,,,,,22:13,2.3 m,H,,,,,,,,,21:54,2.3 m,H
,,,,,,,23:35,1.5 m,L,,,20,7.17 am,7.21 pm,4.11 pm,3.49 am,0.79,02:11,2.1 m,H,,,20,7.09 am,7.16 pm,3.49 pm,3.29 am,0.74,02:37,2.1 m,H
,20,7.14 am,7.18 pm,2.38 pm,2.16 am,0.66,05:46,2.7 m,H,,,,,,,,,07:31,2.4 m,H,,,,,,,,,07:22,2.2 m,H
,,,,,,,12:46,1.0 m,L,,,,,,,,,15:11,0.8 m,L,,,,,,,,,15:00,0.8 m,L
,,,,,,,19:50,2.3 m,H,,,,,,,,,23:01,2.5 m,H,,,,,,,,,22:31,2.4 m,H
,21,7.15 am,7.18 pm,3.31 pm,3.09 am,0.76,00:48,1.8 m,L,,,21,7.16 am,7.21 pm,5.03 pm,4.42 am,0.87,03:52,2.0 m,H,,,21,7.09 am,7.16 pm,4.36 pm,4.17 am,0.82,03:54,1.8 m,L
,,,,,,,06:43,2.7 m,H,,,,,,,,,09:07,2.5 m,H,,,,,,,,,09:05,2.4 m,H
,,,,,,,14:07,0.9 m,L,,,,,,,,,16:09,0.6 m,L,,,,,,,,,15:56,0.7 m,L
,,,,,,,21:48,2.4 m,H,,,,,,,,,23:33,2.6 m,H,,,,,,,,,23:00,2.5 m,H
,22,7.15 am,7.18 pm,4.26 pm,4.03 am,0.84,02:18,2.0 m,H,,,22,7.16 am,7.21 pm,5.52 pm,5.32 am,0.93,04:33,1.8 m,L,,,22,7.09 am,7.15 pm,5.19 pm,5.01 am,0.89,04:22,1.6 m,L
,,,,,,,07:50,2.7 m,H,,,,,,,,,10:01,2.7 m,H,,,,,,,,,09:56,2.6 m,H
,,,,,,,15:16,0.7 m,L,,,,,,,,,16:50,0.6 m,L,,,,,,,,,16:31,0.6 m,L
,,,,,,,22:56,2.5 m,H,,,23,7.16 am,7.21 pm,6.38 pm,6.19 am,0.97,00:01,2.6 m,H,,,,,,,,,23:18,2.5 m,H
,23,7.15 am,7.18 pm,5.21 pm,4.59 am,0.91,03:33,2.0 m,H,,,,,,,,,05:00,1.6 m,L,,,23,7.08 am,7.15 pm,6.01 pm,5.42 am,0.94,04:43,1.4 m,L
,,,,,,,09:00,2.7 m,H,,,,,,,,,10:41,2.8 m,H,,,,,,,,,10:31,2.7 m,H
,,,,,,,16:09,0.6 m,L,,,,,,,,,17:22,0.5 m,L,,,,,,,,,17:00,0.6 m,L
,,,,,,,23:41,2.6 m,H,,,24,7.16 am,7.21 pm,7.21 pm,7.02 am,0.99,00:22,2.6 m,H,,,,,,,,,23:31,2.6 m,H
,24,7.15 am,7.19 pm,6.15 pm,5.54 am,0.96,04:24,1.9 m,L,,,,,,,,,05:24,1.5 m,L,,,24,7.08 am,7.15 pm,6.40 pm,6.21 am,0.98,05:01,1.2 m,L
,,,,,,,09:56,2.8 m,H,,,,,,,,,11:13,2.9 m,H,,,,,,,,,11:01,2.8 m,H
,,,,,,,16:50,0.5 m,L,,,,,,,,,17:52,0.5 m,L,,,,,,,,,17:28,0.6 m,L
,25,7.16 am,7.19 pm,7.07 pm,6.46 am,0.99,00:16,2.7 m,H,,,25,7.16 am,7.21 pm,8.01 pm,7.43 am,1,00:35,2.7 m,H,,,,,,,,,23:41,2.6 m,H
,,,,,,,05:03,1.8 m,L,,,,,,,,,05:50,1.3 m,L,,,25,7.08 am,7.14 pm,7.20 pm,7.00 am,1,05:28,1.0 m,L
,,,,,,,10:41,2.9 m,H,,,,,,,,,11:43,3.0 m,H,,,,,,,,,11:30,2.9 m,H
,,,,,,,17:28,0.5 m,L,,,,,,,,,18:22,0.5 m,L,,,,,,,,,17:58,0.6 m,L
,26,7.16 am,7.19 pm,7.55 pm,7.35 am,1,00:48,2.7 m,H,,,26,7.16 am,7.21 pm,8.41 pm,8.21 am,0.99,00:45,2.7 m,H,,,,,,,,,23:50,2.7 m,H
,,,,,,,05:35,1.7 m,L,,,,,,,,,06:18,1.2 m,L,,,26,7.07 am,7.14 pm,8.00 pm,7.38 am,1,05:56,0.8 m,L
,,,,,,,11:18,3.0 m,H,,,,,,,,,12:13,3.0 m,H,,,,,,,,,11:58,2.9 m,H
,,,,,,,18:03,0.5 m,L,,,,,,,,,18:54,0.5 m,L,,,,,,,,,18:28,0.7 m,L
,27,7.16 am,7.19 pm,8.40 pm,8.21 am,0.99,01:13,2.7 m,H,,,27,7.15 am,7.20 pm,9.20 pm,9.00 am,0.96,00:58,2.8 m,H,,,27,7.07 am,7.14 pm,8.42 pm,8.18 am,0.98,00:05,2.8 m,H
,,,,,,,06:07,1.6 m,L,,,,,,,,,06:48,1.0 m,L,,,,,,,,,06:24,0.7 m,L
,,,,,,,11:54,3.0 m,H,,,,,,,,,12:43,3.0 m,H,,,,,,,,,12:30,2.9 m,H
,,,,,,,18:37,0.5 m,L,,,,,,,,,19:22,0.6 m,L,,,,,,,,,18:54,0.8 m,L
,28,7.16 am,7.20 pm,9.22 pm,9.04 am,0.97,01:31,2.7 m,H,,,28,7.15 am,7.20 pm,10.01 pm,9.38 am,0.91,01:16,2.8 m,H,,,28,7.07 am,7.14 pm,9.26 pm,8.59 am,0.95,00:26,2.9 m,H
,,,,,,,06:39,1.5 m,L,,,,,,,,,07:18,0.9 m,L,,,,,,,,,06:52,0.6 m,L
,,,,,,,12:26,3.0 m,H,,,,,,,,,13:15,3.0 m,H,,,,,,,,,13:03,2.8 m,H
,,,,,,,19:11,0.5 m,L,,,,,,,,,19:46,0.8 m,L,,,,,,,,,19:15,1.0 m,L
,29,7.16 am,7.20 pm,10.03 pm,9.44 am,0.92,01:50,2.7 m,H,,,29,7.15 am,7.20 pm,10.43 pm,10.18 am,0.85,01:35,2.8 m,H,,,29,7.06 am,7.13 pm,10.14 pm,9.44 am,0.9,00:48,2.9 m,H
,,,,,,,07:13,1.4 m,L,,,,,,,,,07:46,0.9 m,L,,,,,,,,,07:18,0.6 m,L
,,,,,,,13:00,3.0 m,H,,,,,,,,,13:46,2.8 m,H,,,,,,,,,13:37,2.7 m,H
,,,,,,,19:43,0.6 m,L,,,,,,,,,20:01,0.9 m,L,,,,,,,,,19:30,1.1 m,L
,30,7.16 am,7.20 pm,10.42 pm,10.22 am,0.87,02:11,2.7 m,H,,,,,,,,,,,,,,30,7.06 am,7.13 pm,11.05 pm,10.33 am,0.83,01:13,2.9 m,H
,,,,,,,07:45,1.3 m,L,,,,,,,,,,,,,,,,,,,,07:43,0.5 m,L
,,,,,,,13:31,3.0 m,H,,,,,,,,,,,,,,,,,,,,14:15,2.6 m,H
,,,,,,,20:11,0.7 m,L,,,,,,,,,,,,,,,,,,,,19:46,1.3 m,L
,31,7.17 am,7.20 pm,11.22 pm,11.01 am,0.8,02:33,2.7 m,H,,,,,,,,,,,,,,31,7.06 am,7.13 pm,NIL,11.26 am,0.75,01:41,2.9 m,H
,,,,,,,08:16,1.3 m,L,,,,,,,,,,,,,,,,,,,,08:16,0.5 m,L
,,,,,,,14:05,2.9 m,H,,,,,,,,,,,,,,,,,,,,15:01,2.4 m,H
,,,,,,,20:35,0.8 m,L,,,,,,,,,,,,,,,,,,,,20:11,1.4 m,L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Feb,Sun,,Moon,,,Tide,,,,,,,,,,,,,,,,,,,,,,,,
,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,,,,,,,,,,,,,,,,,,,
,1,7.17 am,7.20 pm,NIL,11.40 am,0.72,02:56,2.7 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,08:50,1.2 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14:41,2.7 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20:52,1.0 m,L,,,,,,,,,,,,,,,,,,,,,,
,2,7.17 am,7.21 pm,12.03 am,12.20 pm,0.63,03:20,2.7 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,09:30,1.2 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15:26,2.5 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21:15,1.3 m,L,,,,,,,,,,,,,,,,,,,,,,
,3,7.17 am,7.21 pm,12.46 am,1.05 pm,0.53,03:48,2.6 m,H,,,,,,,,,,,,,,,,,,,,,,
